Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
24 Apr 2021,19:30,Rajasthan Royals,134,133,Kolkata Knight Riders,No spectators.,134/4 (18.5) : 133/9 (20),2.06,1.73,9,2021,1
23 Apr 2021,19:30,Punjab Kings,132,131,Mumbai Indians,No spectators.,132/1 (17.4) : 131/6 (20),2.27,1.58,9,2021,1
22 Apr 2021,19:30,Royal Challengers Bengaluru,181,177,Rajasthan Royals,No spectators.,181/0 (16.3) : 177/9 (20),1.60,2.26,9,2021,1
21 Apr 2021,19:30,Kolkata Knight Riders,202,220,Chennai Super Kings,No spectators.,202/10 (19.1) : 220/3 (20),1.81,1.94,9,2021,1
20 Apr 2021,19:30,Delhi Capitals,138,137,Mumbai Indians,No spectators.,138/4 (19.1) : 137/9 (20),2.17,1.65,9,2021,1
19 Apr 2021,19:30,Chennai Super Kings,188,143,Rajasthan Royals,No spectators.,188/9 (20) : 143/9 (20),1.86,1.90,9,2021,1
18 Apr 2021,19:30,Delhi Capitals,198,195,Punjab Kings,No spectators.,198/4 (18.2) : 195/4 (20),1.67,2.17,9,2021,1
15 Oct 2021 - Play Offs,19:30,Chennai Super Kings,192,165,Kolkata Knight Riders,Chennai Super Kings won by 27 runs.,192/3 (20) : 165/9 (20),1.94,1.82,8,2021,2
13 Oct 2021 - Play Offs,19:30,Delhi Capitals,135,136,Kolkata Knight Riders,Kolkata Knight Riders won by 3 wickets.,135/5 (20) : 136/7 (19.5),2.00,1.78,8,2021,2
11 Oct 2021 - Play Offs,19:30,Royal Challengers Bengaluru,138,139,Kolkata Knight Riders,Kolkata Knight Riders won by 4 wickets.,138/7 (20) : 139/6 (19.4),1.96,1.77,8,2021,2
10 Oct 2021 - Play Offs,19:30,Delhi Capitals,172,173,Chennai Super Kings,Chennai Super Kings won by 4 wickets.,172/5 (20) : 173/6 (19.4),2.03,1.72,8,2021,2
08 Oct 2021,19:30,Royal Challengers Bengaluru,166,164,Delhi Capitals,Neutral location.,166/3 (20) : 164/5 (20),1.74,2.02,9,2021,2
07 Oct 2021,19:30,Kolkata Knight Riders,171,85,Rajasthan Royals,Neutral location.,171/4 (20) : 85/10 (16.1),1.66,2.14,9,2021,2
06 Oct 2021,19:30,Royal Challengers Bengaluru,137,141,Sunrisers Hyderabad,Neutral location.,137/6 (20) : 141/7 (20),1.46,2.64,9,2021,2
05 Oct 2021,19:30,Rajasthan Royals,90,94,Mumbai Indians,Neutral location.,90/9 (20) : 94/2 (8.2),2.32,1.57,9,2021,2
04 Oct 2021,19:30,Delhi Capitals,139,136,Chennai Super Kings,Neutral location.,139/7 (19.4) : 136/5 (20),1.79,1.99,9,2021,2
03 Oct 2021,19:30,Kolkata Knight Riders,119,115,Sunrisers Hyderabad,Neutral location.,119/4 (19.4) : 115/8 (20),1.59,2.31,9,2021,2
02 Oct 2021,19:30,Rajasthan Royals,190,189,Chennai Super Kings,Neutral location.,190/3 (17.3) : 189/4 (20),2.07,1.69,9,2021,2
01 Oct 2021,19:30,Kolkata Knight Riders,165,168,Punjab Kings,Neutral location.,165/7 (20) : 168/5 (19.3),1.71,2.05,9,2021,2
30 Sep 2021,19:30,Sunrisers Hyderabad,134,139,Chennai Super Kings,Neutral location.,134/7 (20) : 139/4 (19.4),2.33,1.55,9,2021,2
29 Sep 2021,19:30,Rajasthan Royals,149,153,Royal Challengers Bengaluru,Neutral location.,149/9 (20) : 153/3 (17.1),2.22,1.61,9,2021,2
